text,label,submessage_label
Ill send 3 if you send 3 back?,0,17
perhaps,7,112
perhaps not,7,118
Sending 4 back to you this round,0,17
u and me dawg lets win this thing,0,9
I will give you coins,0,17
lets group up yeah?,0,8
"hello, yes",7,112
that would be pretty gouda,7,112
3 each is my give,0,19
okay,7,113
Im in,7,114
aweseom,7,114
i dont like how much typing mucheal is doing ,4,68
its scaring me,5,98
spooky,5,98
Please let us be loyal,0,24
I cant take any more betrayal,0,26
I wont betray you,2,42
that wouldnt age well,7,129
i am a loyal little Man ,2,42
3 each again?,0,14
3 for each,0,19
I will be as generous as I can,0,9
"Cambert, you didnt give to me",4,67
ope sorry my b,6,107
Rude!,7,126
sending a few more as a token of good will,0,17
Let us not fight eachother,1,33
okay,7,113
3 each?,0,19
done,7,114
Seems like 3 is working,7,127
"Yes, we must stick together",0,9
Amen,7,113
And amen,7,113
"weve got our two groups, its us and cottage, blue, and caprino",3,52
3 each?,0,19
And then moz and asiago are all alone,4,78
Im good with 3 each,7,114
yeah,7,112
do we want to attack in a few rounds?,1,32
"Asiago trying to convince me and Camembert to join him, interesting",3,63
im not joining him,7,118
"Nice, refined cheeses for life",7,114
Thank you for telling us. Lets just keep working together,0,9
Still 3?,7,131
Yeah,7,112
"I didnt recieve any from camembert, I thought we were a team yo",4,68
Thats the second time camembert!,4,68
cam getting close with the other crowd,3,61
sorry i like spaced out,6,111
dont give me any more tokens,1,30
We are glad you are one of us cam,4,73
one of us! one of us!,4,73
We da C cheeses.  Friends?,0,8
Cs gotta stick together,0,9
Ill send 3 if you send? Both of you?,0,14
done,7,114
Im sending you both 5 this round,0,19
Ill do the same,7,130
Im so sorry I forgot to submit,6,106
sorry I only sent 3,6,111
No worries,7,122
changing this round,0,18
Ill make it up and send 5 this round to both,0,18
5 sent comrades,0,18
Sending you both 5,0,19
the c group stands for comrades,0,9
same here. submitted for 5 each,7,130
Asiago and Blue are looking for friends.  We could add them to our group for a mega-group,0,21
the only thing we have to lose is our chains brothers,0,24
We would be the strongest group,0,24
what do yall think?,5,98
OK.  Im sending you 6 each.  Also sending to my buddy Blue,0,19
"Im doing 5 this round, sending to blue and asiago too",0,18
Not to Asiago,1,30
im sending as many as I can for a total of 5 each,0,19
They didnt respond,4,68
not asiago?,1,38
Blue is legit,4,71
Asiago not so much,4,68
theyve been fine to me but not sure yet,71
"yeah no youre right, they sent the first time and not again",4,68
sending you both 6 this round,0,19
5 to all again ,0,19
good group this is,0,9
we are the strongest group,0,24
do you guys know blue cheese,0,99
he was asking to be friends iwth this group,3,54
"Yes, Blue is my buddy",4,73
sweet,7,114
"Yeah, me and blue have been sending back and forth",4,73
added to group,0,22
I say to let em in.  They have been consistent,0,22
i sent em some tokens,0,18
"We would be best on a pizza together, want to team?",0,8
bro letsa go,7,114
Im sending you 10,0,17
oh my b,6,107
ill send more next time,7,115
"No worries. If I lift you up, you trade back and help me",0,8
The more we trade the more we grow,0,24
"I sent less so I could send some to brie, sorry",6,103
Have you talked with brie at all? They have not said anything,5,99
not really lol too many chats,7,118
I am just going to send you 10 instead of splitting it,0,17
Bro no tokens?,5,85
Fair ,7,123
Sening you 6,0,17
Fair,7,123
I have no friends haha,4,78
You guys wanna be pals?,0,8
Sending you 4 this round Blue,0,18
Right back at ya,7,130
"Asiago, also sending you 4",0,18
Wanna be friends?,0,8
Sure! Ill give you 3 tokens,0,17
Sounds good,7,114
Oof things are tough for you right now,4,76
Will give you 4,0,17
Yea some people are not trading like they said,4,68
I will give you a few more too,0,17
Thanks! Will still give you some this round,0,17
Would you like to work together?,0,8
yo lets squad up boys,0,9
Lets do it,7,112
I will give coins my friends,0,17
"Sorry brie, I didnt have time to change, I didnt think you were responding",6,105
No worries,7,122
Wanna be gross cheese buddies?,0,8
cheese buddies 5ever,0,9
Are you friends with caprino? I think we would make a graet team,0,21
were on good terms yeah,4,73
"thanks dwag, i gotchu",7,114
3 this round?,0,17
im sending 8,0,18
actually lets make it an eeven 9,0,19
shoot Im sorry I dont have that many to spare,6,103
no worries,7,122
i got kicked lol and they didnt send but i got some for u now,4,70
okay I believe you. 4 for 4 this round?,0,19
yessir,7,112
im sending 6 as an apology,0,17
<3,7,114
"only doing 3, not a lot of spare tokens. that cool?",0,17
it will suffice,7,114
9 for u my friend,0,17
blessings upon you,7,119
more incoming,0,17
you have left me to die,4,70
:(,7,126
why do you choose violence,4,69
plotting to attack our cheese brethren,3,56
haha hey were just having fun out here,7,124
let us make amends,1,33
Looks like Asiago doesnt wanna be homies,3,55
wanna keep helping each other out?,0,8
Sending you 6 this time.  You might consider befriending Cottage and Camembert (my other friends),0,21
sounds good! wanna make a chat next round?,0,28
"Yo, cuold you get me in with the cool cheeses?",0,12
Ive mentioned you to them.  Give some to them and Ill keep working on it,0,13
Sounds good,7,114
"Hey gouda, thanks for the points! wanna be pals?",0,8
Sure!,7,112
Ill give you three,0,17
cool same!,7,130
Im so dissappointed :(,7,126
can we still be friends?,0,8
Sending you 3 this round in return,0,17
Sounds good,7,114
"I may need some new friends, others are not treating me nice",4,70
"Im able to send you 2 this round.  Im friends with Blue, Cambert, Cottage.  Not sure how to integrate you in with us.",0,17
Let me see what I can do,7,115
"That is fine, dont worry too much",7,122
if we team up now well be unstoppable,0,9
"*hollow purple* nah, id win",7,118
"camembert, i gotta say youre a cool guy. Wanna be pals?",4,71
I am friends with cottage cheese and caprino. I think it would be fun to team up!,0,9
youre a real one,4,74
Camembert is a part of the other group,3,52
hes giving them more tokens than he is to us,4,68
Hmm playing both sides,4,68
I wont give to him this round,1,30
Lets confront him in the chat and ask him to defend himself.,1,38
"sorry brie, Ill give you 5 this time",6,111
I totally misclicked,6,107
"All is forgiven, I am weak though",4,76
Just us now boys,4,78
five each,0,19
Im good with 5,0,19
should we try to recruit asiago?,0,21
"mozz just attacked, which begins the fall",3,59
